Date(NZST),RH(%)_m,Tmax(C)_m,Tmin(C)_m,Dir(DegT)_m,Speed(m/s)_m,Pmsl(hPa),Prec,RH(%)_s,Tmax(C)_s,Tmin(C)_s,Dir(DegT)_s,Speed(m/s)_s
2018-08-31,99,17.1,5.6,11.0,0.9,1003.7,0.0,,,,,
2018-01-09,99,18.6,5.8,331.0,0.6,1005.3,3.0,,,,,
2018-02-09,86,18.2,10.0,343.0,4.3,997.5,6.2,,,,,
2018-03-09,89,17.2,9.1,339.0,2.9,1006.4,3.6,,,,,
2018-04-09,76,13.4,3.2,177.0,2.6,1014.2,4.8,,,,,
2018-05-09,75,13.6,6.6,167.0,4.6,1018.0,0.0,,,,,
2018-06-09,93,16.4,9.2,195.0,2.8,1016.6,1.0,,,,,
2018-07-09,65,12.9,9.3,182.0,4.9,1014.6,6.8,,,,,
2018-08-09,72,16.0,10.4,161.0,3.4,1015.8,0.0,,,,,
2018-09-09,64,17.3,9.7,222.0,4.0,1011.8,0.0,,,,,
2018-10-09,65,15.7,9.7,37.0,1.4,1006.5,0.0,,,,,
2018-11-09,84,15.8,10.9,180.0,2.5,1008.0,0.6,,,,,
2018-12-09,96,18.1,5.1,202.0,0.1,1022.1,0.0,,,,,
2018-09-13,70,18.2,6.3,219.0,2.9,1026.6,0.0,,,,,
2018-09-14,61,16.0,12.3,212.0,4.4,1026.1,0.0,,,,,
2018-09-15,84,17.4,8.6,162.0,2.9,1025.3,0.0,,,,,
2018-09-16,59,19.6,11.8,7.0,3.4,1022.6,0.0,,,,,
2018-09-17,89,18.2,13.3,33.0,3.0,1020.0,0.2,,,,,
2018-09-18,88,19.8,12.2,160.0,2.2,1017.5,0.2,,,,,
2018-09-19,81,17.4,13.9,156.0,3.3,1015.1,8.0,,,,,
2018-09-20,66,18.3,12.1,163.0,3.1,1010.1,0.0,,,,,
2018-09-21,88,21.0,12.0,321.0,1.6,1008.0,0.0,,,,,
2018-09-22,80,18.7,10.5,114.0,3.4,1010.6,0.6,,,,,
2018-09-23,67,18.0,6.9,186.0,2.4,1013.8,0.0,,,,,
2018-09-24,67,17.2,11.1,271.0,3.6,1010.5,0.0,,,,,
2018-09-25,69,18.1,9.5,253.0,5.3,1006.9,7.8,,,,,
2018-09-26,63,14.0,9.8,244.0,4.9,1011.0,5.0,,,,,
2018-09-27,62,15.4,9.9,223.0,3.0,1016.6,1.6,,,,,
2018-09-28,69,16.9,5.1,336.0,1.2,1023.6,0.0,,,,,
2018-09-29,78,16.3,3.8,349.0,1.4,1027.4,0.2,,,,,
2018-09-30,96,17.7,3.1,229.0,0.3,1027.5,0.0,,,,,
2018-01-10,78,19.0,9.8,327.0,1.7,1026.4,0.0,,,,,
2018-02-10,96,18.3,12.3,181.0,1.3,1024.6,2.0,,,,,
2018-03-10,93,18.8,7.2,240.0,0.5,1025.1,1.4,,,,,
2018-04-10,96,18.8,9.2,237.0,0.4,1020.7,0.0,,,,,
2018-05-10,97,18.1,6.9,208.0,1.4,1019.7,0.0,,,,,
2018-06-10,87,19.4,9.0,171.0,1.8,1023.9,0.0,,,,,
2018-07-10,92,19.9,9.4,315.0,0.4,1023.8,0.0,,,,,
2018-08-10,79,19.7,11.0,222.0,1.5,1021.6,0.0,,,,,
2018-09-10,85,18.9,5.5,332.0,0.7,1020.2,0.0,,,,,
2018-10-10,72,17.5,6.1,290.0,1.8,1017.9,0.0,,,,,
2018-11-10,82,18.0,5.3,16.0,1.0,1015.3,0.0,,,,,
2018-12-10,91,18.5,12.1,312.0,6.4,1002.9,17.4,,,,,
2018-10-13,68,16.9,7.4,152.0,7.3,1014.6,1.4,,,,,
