Date,AQI,WS
2018-09-18,26.0,
2018-09-19,19.0,
2018-09-20,19.0,
2018-09-21,32.0,
2018-09-22,39.0,
2018-09-23,32.0,
2018-09-24,28.0,
2018-09-25,31.0,
2018-09-26,33.0,
2018-09-27,29.0,
2018-09-28,27.0,
2018-09-29,35.0,
2018-09-30,34.0,
2018-10-01,23.0,
2018-10-02,31.0,
2018-10-03,25.0,
2018-10-04,34.0,
2018-10-05,38.0,
2018-10-06,23.0,
2018-10-07,35.0,
2018-10-08,29.0,
2018-10-09,31.0,3.0
2018-10-10,28.0,4.0
2018-10-11,33.0,4.4
2018-10-12,34.0,7.3
2018-10-13,39.0,5.5
2018-10-14,27.0,3.7
2018-10-15,43.0,3.1
2018-10-16,36.0,3.7
2018-10-17,27.0,4.8
2018-10-18,25.0,4.3
2018-10-19,43.0,4.6
2018-10-20,45.0,3.1
2018-10-21,35.0,4.9
2018-10-22,21.0,2.8
2018-10-23,24.0,3.6
2018-10-24,24.0,2.6
2018-10-25,25.0,5.4
2018-10-26,31.0,4.0
2018-10-27,36.0,5.5
2018-10-28,26.0,3.5
2018-10-29,19.0,5.9
2018-10-30,32.0,5.6
2018-10-31,40.0,4.2
2018-11-01,36.0,6.9
2018-11-02,38.0,5.1
2018-11-03,44.0,7.3
2018-11-04,46.0,6.7
2018-11-05,51.0,5.2
2018-11-06,42.0,3.7
2018-11-07,46.0,3.9
2018-11-08,43.0,2.7
2018-11-09,26.0,3.7
2018-11-10,37.0,4.1
2018-11-11,55.0,3.9
2018-11-12,35.0,2.7
2018-11-13,26.0,3.3
2018-11-14,31.0,4.8
2018-11-15,30.0,4.5
2018-11-16,24.0,3.9
2018-11-17,30.0,3.2
2018-11-18,27.0,3.6
2018-11-19,25.0,5.3
2018-11-20,22.0,4.3
2018-11-21,20.0,4.4
2018-11-22,24.0,3.1
2018-11-23,22.0,4.7
2018-11-24,19.0,5.8
2018-11-25,35.0,4.4
2018-11-26,57.0,3.1
2018-11-27,50.0,3.2
2018-11-28,33.0,5.6
2018-11-29,41.0,4.5
2018-11-30,37.0,6.7
2018-12-01,50.0,7.0
2018-12-02,57.0,5.2
2018-12-03,47.0,5.9
2018-12-04,35.0,6.9
2018-12-05,48.0,6.2
2018-12-06,48.0,6.0
2018-12-07,31.0,4.2
2018-12-08,39.0,3.6
2018-12-09,43.0,4.7
2018-12-10,43.0,3.5
2018-12-11,46.0,4.1
2018-12-12,39.0,3.6
2018-12-13,27.0,3.5
2018-12-14,25.0,5.1
2018-12-15,23.0,4.4
2018-12-16,16.0,3.8
2018-12-17,16.0,3.9
2018-12-18,23.0,4.0
2018-12-19,27.0,5.1
2018-12-20,28.0,5.3
2018-12-21,24.0,6.2
2018-12-22,22.0,3.3
2018-12-23,22.0,4.5
2018-12-24,14.0,6.5
2018-12-25,14.0,4.7
2018-12-26,42.0,4.7
2018-12-27,51.0,4.1
2018-12-28,42.0,2.8
2018-12-29,31.0,3.8
2018-12-30,27.0,3.7
2018-12-31,24.0,4.6
2019-01-01,31.0,3.4
2019-01-02,26.0,4.2
2019-01-03,27.0,4.8
2019-01-04,31.0,5.1
2019-01-05,49.0,4.7
2019-01-06,46.0,4.7
2019-01-07,25.0,4.0
2019-01-08,29.0,4.6
2019-01-09,31.0,4.5
2019-01-10,49.0,4.0
2019-01-11,45.0,4.1
2019-01-12,32.0,4.9
2019-01-13,45.0,4.1
2019-01-14,41.0,4.3
2019-01-15,21.0,3.6
2019-01-16,30.0,3.7
2019-01-17,38.0,4.8
2019-01-18,36.0,4.3
2019-01-19,31.0,5.2
2019-01-20,34.0,4.9
2019-01-21,41.0,6.4
2019-01-22,40.0,5.0
2019-01-23,36.0,5.0
2019-01-24,47.0,4.3
2019-01-25,46.0,4.4
2019-01-26,40.0,3.8
2019-01-27,22.0,4.7
2019-01-28,21.0,4.4
2019-01-29,33.0,4.2
2019-01-30,49.0,4.1
2019-01-31,44.0,3.9
2019-02-01,43.0,3.7
2019-02-02,41.0,3.0
2019-02-03,38.0,5.5
2019-02-04,47.0,4.1
2019-02-05,38.0,3.6
2019-02-06,34.0,4.5
2019-02-07,30.0,3.9
2019-02-08,23.0,5.2
2019-02-09,29.0,5.2
2019-02-10,29.0,3.2
2019-02-11,32.0,5.0
2019-02-12,32.0,4.3
2019-02-13,26.0,3.7
2019-02-14,25.0,3.8
2019-02-15,29.0,3.9
2019-02-16,36.0,5.0
2019-02-17,42.0,5.1
2019-02-18,42.0,3.8
2019-02-19,26.0,2.8
2019-02-20,33.0,3.8
2019-02-21,29.0,4.7
2019-02-22,31.0,3.7
2019-02-23,22.0,3.2
2019-02-24,29.0,5.5
2019-02-25,29.0,5.0
2019-02-26,23.0,3.7
2019-02-27,20.0,4.1
2019-02-28,30.0,5.0
2019-03-01,39.0,3.7
2019-03-02,36.0,3.3
2019-03-03,26.0,4.1
2019-03-04,26.0,4.5
2019-03-05,25.0,4.2
2019-03-06,31.0,3.9
2019-03-07,30.0,4.8
2019-03-08,23.0,6.0
2019-03-09,23.0,3.9
2019-03-10,23.0,3.6
2019-03-11,36.0,2.8
2019-03-12,34.0,4.1
2019-03-13,27.0,3.2
2019-03-14,27.0,3.1
2019-03-15,22.0,3.9
2019-03-16,19.0,3.6
2019-03-17,23.0,3.7
2019-03-18,31.0,4.0
2019-03-19,29.0,2.7
2019-03-20,31.0,2.4
2019-03-21,42.0,3.8
2019-03-22,32.0,3.3
2019-03-23,42.0,3.0
2019-03-24,42.0,3.5
2019-03-25,16.0,4.2
2019-03-26,22.0,5.0
2019-03-27,24.0,3.7
2019-03-28,25.0,3.8
2019-03-29,22.0,4.9
2019-03-30,25.0,5.4
2019-03-31,29.0,5.6
2019-04-01,42.0,4.5
2019-04-02,29.0,4.6
2019-04-03,28.0,2.5
2019-04-04,22.0,2.5
2019-04-05,31.0,3.1
2019-04-06,32.0,3.2
2019-04-07,18.0,3.2
2019-04-08,23.0,2.1
2019-04-09,23.0,3.7
2019-04-10,22.0,3.0
2019-04-11,21.0,5.9
2019-04-12,29.0,4.8
2019-04-13,29.0,3.8
2019-04-14,24.0,3.3
2019-04-15,26.0,2.5
2019-04-16,27.0,2.3
2019-04-17,30.0,2.7
2019-04-18,26.0,2.6
2019-04-19,37.0,2.7
2019-04-20,47.0,2.7
2019-04-21,40.0,3.5
2019-04-22,26.0,3.0
2019-04-23,21.0,2.5
2019-04-24,21.0,3.6
2019-04-25,21.0,4.0
2019-04-26,24.0,3.7
2019-04-27,26.0,2.9
2019-04-28,20.0,2.4
2019-04-29,30.0,4.6
2019-04-30,33.0,3.8
2019-05-01,31.0,2.9
2019-05-02,30.0,3.5
2019-05-03,44.0,2.6
2019-05-04,53.0,3.5
2019-05-05,33.0,3.3
2019-05-06,33.0,3.2
2019-05-07,30.0,3.6
2019-05-08,30.0,3.9
2019-05-09,25.0,4.2
2019-05-10,25.0,4.1
2019-05-11,26.0,2.7
2019-05-12,30.0,5.4
2019-05-13,50.0,6.7
2019-05-14,55.0,1.9
2019-05-15,46.0,7.1
2019-05-16,34.0,5.1
2019-05-17,36.0,4.0
2019-05-18,35.0,4.1
2019-05-19,26.0,5.1
2019-05-20,31.0,3.4
2019-05-21,32.0,2.2
2019-05-22,27.0,2.5
2019-05-23,24.0,2.8
2019-05-24,34.0,2.4
2019-05-25,58.0,2.6
2019-05-26,68.0,1.9
2019-05-27,51.0,3.4
2019-05-28,28.0,5.9
2019-05-29,43.0,5.0
2019-05-30,44.0,3.2
2019-05-31,28.0,5.8
2019-06-01,28.0,5.2
2019-06-02,28.0,4.7
2019-06-03,50.0,1.6
2019-06-04,55.0,3.8
2019-06-05,29.0,6.3
2019-06-06,28.0,4.4
2019-06-07,25.0,4.1
2019-06-08,49.0,7.7
2019-06-09,54.0,3.0
2019-06-10,54.0,2.5
2019-06-11,34.0,2.9
2019-06-12,39.0,3.1
2019-06-13,47.0,2.0
2019-06-14,54.0,3.4
2019-06-15,42.0,3.9
2019-06-16,26.0,4.9
2019-06-17,35.0,4.9
2019-06-18,49.0,2.0
2019-06-19,81.0,3.1
2019-06-20,50.0,5.8
2019-06-21,35.0,3.7
2019-06-22,55.0,1.4
