Date,NO,NO2,NOx,PM10,PM2.5,RH,SO2
2017-09-24,7.9,21.9,28.5,15.7,14.9,0.0,-0.4
2017-09-25,9.2,45.1,54.3,33.8,13.5,0.0,6.1
2017-09-26,5.3,24.2,28.1,26.2,14.5,0.0,0.4
2017-09-27,66.4,67.4,133.8,36.5,22.1,0.0,6.9
2017-09-28,48.6,59.1,107.7,43.4,13.6,0.0,9.9
2017-09-29,29.6,47.0,76.1,18.0,9.3,0.0,3.2
2017-09-30,38.6,47.3,85.8,18.4,20.0,0.0,2.4
2017-10-01,4.8,33.8,38.6,35.8,15.0,0.0,1.6
2017-10-02,16.9,26.8,43.7,51.1,23.6,0.0,1.0
2017-10-03,32.6,34.1,66.6,39.1,22.4,0.0,1.6
2017-10-04,35.2,46.6,81.8,19.8,7.0,0.0,1.7
2017-10-05,32.6,37.0,69.6,27.0,18.3,0.0,1.6
2017-10-06,145.4,49.7,195.1,28.8,18.5,0.0,6.6
2017-10-07,2.9,17.1,20.0,21.9,19.1,0.0,2.3
2017-10-08,1.6,8.7,10.2,17.3,15.0,0.0,0.9
2017-10-09,5.9,15.7,21.6,20.3,9.4,0.0,0.4
2017-10-10,7.0,15.8,21.0,0.0,15.1,0.0,0.0
2017-10-11,18.6,32.9,49.7,0.0,17.0,0.0,0.9
2017-10-12,38.2,49.4,87.6,0.0,14.8,0.0,1.5
2017-10-13,22.1,47.7,69.9,0.0,31.1,0.0,1.6
2017-10-14,19.5,42.9,59.2,0.0,16.2,0.0,2.7
2017-10-15,7.4,12.4,18.6,0.0,9.4,0.0,0.9
2017-10-16,25.8,34.3,58.9,0.0,23.2,0.0,1.4
2017-10-17,28.1,37.1,63.8,0.0,12.0,0.0,1.0
2017-10-18,54.2,49.4,103.6,29.0,13.9,0.0,2.4
2017-10-19,77.5,58.0,135.5,21.7,12.4,0.0,12.8
2017-10-20,33.2,41.1,74.3,22.3,15.0,0.0,1.5
2017-10-21,13.2,16.5,29.7,18.5,8.6,0.0,0.7
2017-10-22,5.6,18.0,19.3,19.0,24.9,0.0,0.7
2017-10-23,10.4,18.1,27.5,15.6,17.9,0.0,1.0
2017-10-24,45.7,45.7,91.5,18.0,12.9,0.0,1.8
2017-10-25,29.0,38.0,66.3,16.6,6.6,0.0,1.1
2017-10-26,24.1,28.1,49.5,18.1,19.1,0.0,1.4
2017-10-27,12.7,31.1,38.3,16.4,18.1,0.0,1.9
2017-10-28,4.8,16.7,20.5,11.7,11.9,0.0,0.9
2017-10-29,0.5,3.3,3.4,17.8,10.3,0.0,0.7
2017-10-30,14.6,29.6,44.2,26.8,13.7,0.0,9.1
2017-10-31,91.9,49.5,137.8,33.1,22.7,0.0,5.2
2017-11-01,3.7,25.7,29.4,20.5,22.7,0.0,1.4
2017-11-02,5.2,9.2,10.7,23.5,12.7,0.0,1.1
2017-11-03,1.7,4.4,5.5,32.8,24.7,0.0,0.4
2017-11-04,8.4,18.7,21.5,24.0,18.6,0.0,0.7
2017-11-05,8.4,22.8,27.5,16.1,10.1,0.0,0.9
2017-11-06,31.2,43.3,74.4,92.8,32.9,0.0,0.9
2017-11-07,45.5,35.2,78.7,25.5,14.9,0.0,2.6
2017-11-08,31.5,31.9,63.4,35.4,33.2,0.0,0.0
2017-11-09,58.8,56.3,115.1,44.8,13.3,0.0,0.0
2017-11-10,32.9,41.0,73.9,31.8,13.5,0.0,3.8
2017-11-11,28.5,30.3,57.4,34.3,16.6,0.0,9.6
2017-11-12,10.8,24.3,31.1,26.6,11.7,0.0,4.3
2017-11-13,44.5,34.9,79.3,34.9,21.0,0.0,9.0
2017-11-14,45.6,35.3,55.1,23.5,12.8,0.0,2.3
2017-11-15,150.5,49.1,156.8,16.9,22.7,0.0,7.2
2017-11-16,103.9,48.9,109.1,31.1,39.5,0.0,4.4
2017-11-17,64.0,43.1,79.4,27.0,35.9,0.0,6.5
2017-11-18,21.3,34.0,42.6,21.6,24.8,0.0,7.2
2017-11-19,18.9,18.9,30.4,12.1,32.9,0.0,10.7
2017-11-20,52.3,32.4,63.8,13.5,28.4,0.0,6.5
2017-11-21,49.5,31.5,54.4,24.5,28.6,0.0,7.7
2017-11-22,10.8,29.0,29.0,20.7,12.6,0.0,8.9
2017-11-23,39.1,37.7,54.2,21.8,14.4,0.0,3.0
2017-11-24,73.1,50.9,93.8,22.9,15.7,0.0,4.7
2017-11-25,29.9,38.6,42.8,31.0,11.3,0.0,1.7
2017-11-26,0.5,10.0,7.9,10.5,8.1,0.0,0.3
2017-11-27,40.5,47.6,47.8,22.4,13.7,0.0,1.6
2017-11-28,8.7,27.5,27.3,15.8,11.6,0.0,1.1
2017-11-29,29.8,40.0,40.6,20.9,13.9,0.0,1.5
2017-11-30,52.3,57.9,88.0,26.4,26.3,0.0,3.1
2017-12-01,88.5,29.5,96.7,22.3,7.7,0.0,3.6
2017-12-02,18.3,24.1,24.3,13.5,16.5,0.0,1.5
2017-12-03,49.7,34.0,51.0,19.3,17.0,0.0,3.4
2017-12-04,81.6,42.5,107.7,23.8,13.7,0.0,17.5
2017-12-05,10.9,20.5,27.8,28.7,13.4,0.0,2.0
2017-12-06,12.6,25.3,25.8,27.0,17.0,0.0,4.2
2017-12-07,29.3,31.3,35.0,28.6,16.5,0.0,4.6
2017-12-08,32.5,33.7,38.6,26.9,15.0,0.0,1.0
