Date,AQI,PM10,PM2.5,RH,TEMP,WS
2017-11-20,11,8.9,0.0,71.08,23,1.7
2017-11-21,24,21.5,0.0,85.93,23,2.7
2017-11-22,28,20.5,0.0,84.47,21,1.6
2017-11-23,21,19.2,0.0,89.0,23,2.6
2017-11-24,29,24.5,0.0,88.7,23,2.5
2017-11-25,29,12.9,0.0,85.18,21,1.6
2017-11-26,16,9.2,0.0,75.95,22,1.2
2017-11-27,14,14.9,0.0,78.67,23,2.0
2017-11-28,13,12.2,0.0,77.95,22,1.4
2017-11-29,12,11.5,0.0,82.9,23,1.7
2017-11-30,21,21.4,0.0,85.12,22,1.9
2017-12-01,22,15.8,0.0,89.23,23,1.4
2017-12-02,14,11.2,0.0,86.52,23,1.5
2017-12-03,13,15.0,0.0,87.65,24,1.6
2017-12-04,23,22.2,0.0,85.42,26,2.4
2017-12-05,22,11.9,0.0,80.83,24,1.6
2017-12-06,19,24.9,0.0,84.1,24,1.8
2017-12-07,22,21.3,0.0,85.22,25,1.3
2017-12-08,27,43.4,0.0,80.37,24,1.4
2017-12-09,23,14.0,0.0,77.17,24,1.1
2017-12-10,25,28.5,0.0,85.07,24,2.2
2017-12-11,25,23.8,0.0,83.07,24,2.4
2017-12-12,26,18.3,0.0,88.78,24,3.0
2017-12-13,28,21.1,0.0,72.95,24,4.0
2017-12-14,27,30.0,0.0,86.23,25,2.8
2017-12-15,26,19.7,0.0,76.5,24,2.8
2017-12-16,26,16.9,0.0,85.42,25,3.2
2017-12-17,22,16.7,0.0,87.1,25,1.6
2017-12-18,23,21.2,0.0,88.97,24,3.0
2017-12-19,40,24.8,0.0,80.73,23,3.4
2017-12-20,41,29.6,0.0,81.52,21,4.8
2017-12-21,43,23.9,0.0,71.65,23,3.8
2017-12-22,39,28.9,0.0,84.18,25,2.7
2017-12-23,38,39.0,0.0,76.72,24,1.1
2017-12-24,35,16.8,0.0,75.45,24,1.7
2017-12-25,20,13.1,0.0,80.3,24,1.3
2017-12-26,15,16.0,0.0,89.15,23,3.2
2017-12-27,28,22.2,0.0,78.02,23,3.8
2017-12-28,28,22.3,0.0,56.45,20,5.1
2017-12-29,34,26.8,0.0,71.25,23,3.7
2017-12-30,34,20.5,0.0,84.42,25,2.8
2017-12-31,22,11.9,0.0,85.07,24,2.0
2018-01-01,19,17.4,0.0,88.72,24,2.0
2018-01-02,17,12.8,0.0,91.13,25,1.5
2018-01-03,13,10.9,0.0,83.78,25,1.0
2018-01-04,19,19.4,0.0,90.85,22,2.0
2018-01-05,39,67.8,0.0,89.5,21,3.7
2018-01-06,67,40.7,0.0,80.15,22,3.1
2018-01-07,67,39.0,0.0,83.58,23,3.3
2018-01-08,51,27.5,0.0,77.45,24,3.1
2018-01-09,47,24.4,0.0,88.77,26,3.0
2018-01-10,28,40.3,0.0,82.6,26,2.7
2018-01-11,30,17.1,0.0,85.52,26,2.3
2018-01-12,26,19.8,0.0,84.43,27,1.3
2018-01-13,25,19.7,0.0,80.68,25,0.9
2018-01-14,22,12.8,0.0,82.35,26,1.5
2018-01-15,19,16.3,0.0,79.57,26,1.3
2018-01-16,30,26.8,0.0,76.42,25,1.4
2018-01-17,45,45.9,0.0,76.4,25,0.9
2018-01-18,48,26.1,0.0,90.28,21,1.0
2018-01-19,38,33.8,0.0,90.78,25,1.1
2018-01-20,41,21.4,0.0,85.03,26,1.2
2018-01-21,31,17.7,0.0,85.87,26,1.3
2018-01-22,27,14.6,0.0,89.57,24,1.1
2018-01-23,14,11.3,0.0,89.48,26,1.9
2018-01-24,22,20.2,0.0,89.15,27,3.6
2018-01-25,25,20.6,0.0,86.35,26,2.7
2018-01-26,27,18.1,0.0,85.33,28,1.6
2018-01-27,27,18.0,0.0,88.13,27,1.4
2018-01-28,24,15.8,0.0,88.4,28,1.3
2018-01-29,20,0.0,0.0,79.52,28,0.9
2018-01-30,0,52.4,0.0,79.65,26,1.2
2018-01-31,53,31.5,0.0,71.48,26,0.7
2018-02-01,50,38.9,0.0,90.72,23,1.7
2018-02-02,45,30.0,0.0,87.73,23,3.7
2018-02-03,38,17.5,0.0,88.47,21,3.2
2018-02-04,19,17.2,0.0,88.57,22,2.4
2018-02-05,22,19.5,0.0,91.07,24,2.3
2018-02-06,21,20.2,0.0,89.4,23,3.2
2018-02-07,33,27.4,0.0,79.33,24,1.8
2018-02-08,34,15.5,0.0,73.72,22,3.1
2018-02-09,19,23.0,0.0,88.03,21,2.0
2018-02-10,22,20.5,0.0,91.48,23,0.9
2018-02-11,21,12.2,0.0,91.93,23,2.2
2018-02-12,15,13.8,0.0,91.93,27,2.0
2018-02-13,21,18.6,0.0,92.12,23,0.9
2018-02-14,30,31.3,0.0,89.9,25,1.3
2018-02-15,24,21.1,0.0,89.25,26,2.6
2018-02-16,25,16.1,0.0,89.3,28,1.3
2018-02-17,27,21.9,0.0,89.0,26,1.0
2018-02-18,30,21.1,0.0,89.32,27,0.9
2018-02-19,29,22.9,0.0,87.63,27,1.2
2018-02-20,42,36.4,0.0,85.55,26,3.7
2018-02-21,47,33.2,0.0,87.13,23,2.8
2018-02-22,27,26.7,0.0,88.9,22,2.8
2018-02-23,26,19.5,0.0,89.48,23,3.4
2018-02-24,22,16.4,0.0,88.82,24,2.3
2018-02-25,22,16.5,0.0,87.42,25,1.9
2018-02-26,17,13.4,0.0,85.8,24,2.7
2018-02-27,18,14.3,0.0,86.27,23,1.3
2018-02-28,26,21.3,0.0,88.77,24,1.3
2018-03-01,30,33.7,0.0,82.02,24,1.8
2018-03-02,34,30.1,0.0,86.47,24,1.5
2018-03-03,45,29.5,0.0,73.62,24,1.9
2018-03-04,44,23.0,0.0,80.87,25,1.5
2018-03-05,29,43.1,0.0,89.9,26,2.3
2018-03-06,28,33.9,0.0,89.92,27,1.3
2018-03-07,20,18.1,0.0,88.18,25,2.1
2018-03-08,19,14.7,0.0,84.95,22,2.4
2018-03-09,22,15.7,0.0,88.47,26,2.0
2018-03-10,19,12.5,0.0,70.25,23,1.4
2018-03-11,16,13.9,0.0,76.55,22,2.5
2018-03-12,20,16.2,0.0,87.68,19,3.6
2018-03-13,27,20.7,0.0,77.27,23,3.9
2018-03-14,29,19.2,0.0,85.22,22,3.5
2018-03-15,28,21.9,0.0,86.32,21,1.3
2018-03-16,26,21.1,0.0,88.73,23,1.8
2018-03-17,24,27.0,0.0,89.8,23,2.6
2018-03-18,23,16.2,0.0,69.3,22,2.3
2018-03-19,24,22.5,0.0,83.57,24,2.2
2018-03-20,24,28.6,0.0,86.08,17,1.7
2018-03-21,0,12.1,0.0,0.0,17,1.3
2018-03-22,25,23.1,0.0,88.52,23,1.6
2018-03-23,23,19.6,0.0,86.03,22,1.2
2018-03-24,19,18.4,0.0,89.55,23,0.9
2018-03-25,16,15.9,0.0,90.8,23,1.8
2018-03-26,21,18.3,0.0,89.0,24,1.0
2018-03-27,20,12.1,0.0,84.7,24,1.2
2018-03-28,16,17.2,0.0,89.88,23,1.0
2018-03-29,18,18.0,0.0,85.73,25,2.1
2018-03-30,19,14.0,0.0,89.42,23,2.3
2018-03-31,16,14.2,0.0,81.28,23,2.2
2018-04-01,32,22.7,0.0,82.72,22,2.9
2018-04-02,32,15.0,0.0,78.87,21,2.3
2018-04-03,23,18.9,0.0,84.23,24,2.3
2018-04-04,24,18.1,0.0,89.58,24,2.3
2018-04-05,33,21.9,0.0,84.32,22,3.4
2018-04-06,33,24.8,0.0,89.97,23,2.1
2018-04-07,28,21.5,0.0,85.1,23,3.3
2018-04-08,30,23.9,0.0,89.13,21,3.1
2018-04-09,27,17.1,0.0,85.0,21,2.3
2018-04-10,34,33.3,0.0,89.75,21,5.5
2018-04-11,34,13.7,0.0,84.23,15,5.7
2018-04-12,15,36.9,0.0,74.72,9,0.9
2018-04-13,55,37.2,0.0,0.0,0,0.0
2018-04-14,51,30.9,0.0,0.0,0,0.0
2018-04-15,40,32.0,0.0,0.0,0,0.0
2018-04-16,35,37.1,0.0,0.0,0,0.0
2018-04-17,48,37.3,0.0,84.15,23,2.3
2018-04-18,44,25.7,0.0,87.37,18,3.8
2018-04-19,32,21.0,0.0,85.65,19,2.7
2018-04-20,27,13.1,0.0,84.38,19,2.7
2018-04-21,17,13.3,0.0,90.3,20,2.6
2018-04-22,27,23.7,0.0,87.25,19,3.4
2018-04-23,32,21.8,0.0,83.6,18,2.1
2018-04-24,26,17.0,0.0,80.92,18,1.8
2018-04-25,20,21.2,0.0,89.0,20,2.7
2018-04-26,29,22.7,0.0,89.75,20,1.3
2018-04-27,28,16.4,0.0,84.4,19,1.5
2018-04-28,30,21.6,0.0,89.45,19,1.5
2018-04-29,30,18.3,0.0,89.98,21,1.0
2018-04-30,27,16.8,0.0,90.23,21,1.9
2018-05-01,25,19.1,0.0,88.15,21,2.8
2018-05-02,27,21.8,0.0,85.45,21,2.1
2018-05-03,28,28.1,0.0,84.85,18,1.2
2018-05-04,34,23.5,0.0,90.27,19,1.0
2018-05-05,32,26.0,0.0,90.4,19,1.1
2018-05-06,27,21.4,0.0,84.7,20,2.2
2018-05-07,41,31.7,0.0,87.48,18,3.9
2018-05-08,47,30.8,0.0,82.38,19,2.9
2018-05-09,39,26.1,0.0,89.85,20,3.2
2018-05-10,38,20.0,0.0,90.85,20,2.1
2018-05-11,28,21.0,0.0,87.65,20,1.3
2018-05-12,29,12.6,0.0,90.08,19,0.9
2018-05-13,17,31.5,0.0,90.85,23,1.4
2018-05-14,15,13.9,0.0,90.7,21,1.1
2018-05-15,22,16.6,0.0,89.45,21,0.9
2018-05-16,21,20.5,0.0,89.35,21,3.0
2018-05-17,21,16.9,0.0,89.98,17,3.0
2018-05-18,22,32.4,0.0,89.38,18,2.5
2018-05-19,25,23.5,0.0,89.38,18,2.6
2018-05-20,18,11.0,0.0,91.78,19,2.1
2018-05-21,23,19.7,0.0,91.77,20,2.9
2018-05-22,24,18.3,0.0,89.65,19,2.3
2018-05-23,20,13.2,0.0,87.95,16,3.5
2018-05-24,25,21.0,0.0,87.83,17,3.1
2018-05-25,27,20.6,0.0,88.63,16,2.6
2018-05-26,26,19.6,0.0,89.15,15,3.8
2018-05-27,26,24.6,0.0,83.77,16,3.1
2018-05-28,24,22.1,0.0,87.58,12,2.5
