Date,AQI,NO,NO2,NOx,PM10,PM2.5,Temp,WS
2017-09-19,40.0,100.9,84.6,173.8,,,,
2017-09-20,44.0,219.1,96.4,315.5,,,,
2017-09-21,68.0,204.8,145.0,311.7,,,,
2017-09-22,47.0,98.5,99.7,182.6,,,,
2017-09-23,45.0,88.3,94.6,182.9,,,,
2017-09-24,40.0,76.3,61.8,137.5,,,,
2017-09-25,56.0,237.2,122.9,348.3,,,,
2017-09-26,47.0,119.9,102.3,222.3,,,,
2017-09-27,43.0,101.5,92.9,194.4,29.2,14.5,,
2017-09-28,41.0,765.7,101.6,823.9,23.8,9.0,,
2017-09-29,,298.1,127.6,409.5,0.0,0.0,,
2017-09-30,,145.6,101.5,247.1,,,,
2017-10-01,,91.4,63.9,151.3,,,,
2017-10-02,,137.4,89.4,220.5,,,,
2017-10-03,,159.9,88.6,229.0,,,,
2017-10-04,,79.0,77.5,155.3,16.8,8.2,,
2017-10-05,,100.0,81.9,175.5,20.5,9.4,,
2017-10-06,36.0,129.1,74.6,195.0,27.3,10.4,,
2017-10-07,43.0,52.8,56.5,106.4,28.8,11.1,,
2017-10-08,43.0,54.7,55.9,106.0,25.6,10.8,,
2017-10-09,35.0,102.2,102.6,177.9,21.6,9.4,19.0,
2017-10-10,33.0,242.4,186.0,428.3,22.6,8.1,20.0,
2017-10-11,48.0,202.6,103.2,304.9,35.0,13.8,19.0,
2017-10-12,51.0,193.1,106.0,299.1,37.4,17.1,18.0,
2017-10-13,52.0,214.0,132.1,346.1,37.8,11.4,19.0,
2017-10-14,46.0,93.1,85.7,156.6,26.0,11.9,21.0,
2017-10-15,42.0,97.6,67.6,153.7,24.8,10.5,18.0,
2017-10-16,40.0,128.5,84.7,213.2,24.1,9.1,18.0,
2017-10-17,43.0,70.4,84.3,134.4,29.0,10.9,17.0,
2017-10-18,42.0,208.5,119.6,328.0,27.5,9.9,18.0,
2017-10-19,34.0,74.1,73.5,135.9,17.5,9.3,17.0,
2017-10-20,32.0,108.2,85.3,193.5,30.3,8.8,18.0,
2017-10-21,31.0,101.8,96.4,184.9,20.4,9.7,17.0,
2017-10-22,33.0,111.7,93.8,190.9,18.0,8.0,18.0,
2017-10-23,30.0,91.7,79.4,143.3,17.0,7.4,19.0,
2017-10-24,29.0,237.9,124.4,345.2,19.8,8.3,20.0,
2017-10-25,34.0,224.6,94.2,202.8,18.8,7.0,18.0,
2017-10-26,38.0,244.8,160.6,381.5,40.0,11.7,20.0,
2017-10-27,39.0,266.6,147.0,401.0,22.0,8.8,19.0,
2017-10-28,27.0,79.2,55.1,134.4,12.9,7.4,19.0,
2017-10-29,27.0,16.4,33.7,48.4,19.4,8.2,20.0,
2017-10-30,36.0,27.4,45.9,66.7,23.5,9.4,19.0,
2017-10-31,37.0,27.6,40.5,68.1,25.0,7.8,21.0,
2017-11-01,36.0,26.0,41.3,67.4,21.9,7.6,19.0,
2017-11-02,38.0,23.9,41.6,62.0,23.3,9.6,19.0,
2017-11-03,54.0,76.8,90.6,146.2,34.0,13.9,20.0,
2017-11-04,55.0,217.5,130.1,347.6,29.7,10.0,20.0,
2017-11-05,40.0,97.9,74.1,171.9,127.1,16.3,23.0,
2017-11-06,41.0,115.5,88.3,203.8,28.7,9.2,20.0,
2017-11-07,39.0,207.8,84.8,292.6,23.6,9.0,18.0,
2017-11-08,46.0,133.4,102.8,236.2,33.4,13.4,19.0,
2017-11-09,47.0,142.6,91.1,219.5,21.2,8.0,20.0,
2017-11-10,33.0,120.8,76.9,175.6,23.8,10.6,19.0,
2017-11-11,34.0,39.6,54.6,94.1,18.7,7.7,19.0,
2017-11-12,28.0,69.6,49.2,113.3,20.6,8.0,19.0,
2017-11-13,34.0,223.8,96.4,320.2,28.9,9.2,19.0,
2017-11-14,31.0,180.3,95.9,276.2,16.7,6.9,18.0,
2017-11-15,22.0,39.4,41.6,79.2,13.4,5.5,19.0,
2017-11-16,20.0,69.4,59.8,129.2,15.8,6.1,20.0,
2017-11-17,24.0,70.2,63.8,134.0,19.3,7.5,21.0,
2017-11-18,26.0,12.1,32.4,43.0,15.7,5.6,20.0,
2017-11-19,20.0,22.0,28.7,48.0,11.7,5.1,19.0,
2017-11-20,17.0,105.0,78.2,162.3,13.5,4.1,23.0,
2017-11-21,30.0,128.9,83.2,212.1,27.2,9.5,22.0,
2017-11-22,34.0,65.6,64.9,124.5,22.3,9.1,22.0,
2017-11-23,32.0,295.0,119.8,390.2,25.6,9.4,24.0,
2017-11-24,32.0,142.4,86.9,202.0,19.5,8.7,25.0,
2017-11-25,30.0,75.0,48.4,120.7,15.9,8.0,21.0,
2017-11-26,25.0,61.1,45.8,106.9,16.5,5.9,21.0,
2017-11-27,23.0,58.0,54.5,109.4,20.0,5.8,23.0,0.5
2017-11-28,23.0,94.4,70.9,160.1,17.8,6.1,22.0,1.1
2017-11-29,22.0,57.3,52.8,110.0,16.9,5.9,22.0,1.2
2017-11-30,29.0,125.1,89.8,214.9,19.4,12.3,22.0,0.6
2017-12-01,28.0,92.2,70.7,162.9,19.7,6.7,23.0,1.1
2017-12-02,23.0,48.7,47.5,91.9,15.1,6.3,22.0,1.1
2017-12-03,20.0,43.9,53.2,97.1,12.5,5.2,24.0,0.8
2017-12-04,21.0,112.7,78.1,168.9,16.8,5.9,27.0,0.6
2017-12-05,24.0,164.8,80.1,244.9,19.2,6.3,25.0,0.8
2017-12-06,28.0,87.5,86.8,174.3,22.7,7.5,25.0,1.3
2017-12-07,30.0,50.5,44.2,91.9,25.3,12.0,24.0,1.0
2017-12-08,32.0,52.6,43.1,94.0,18.8,7.5,24.0,1.1
2017-12-09,27.0,61.9,58.9,110.4,14.7,6.7,24.0,0.9
2017-12-10,32.0,84.5,63.5,139.8,21.3,9.1,25.0,0.5
2017-12-11,36.0,244.4,119.7,336.1,25.5,8.6,28.0,0.9
2017-12-12,36.0,117.6,78.2,171.2,23.4,7.5,26.0,0.9
2017-12-13,34.0,105.5,95.4,177.9,18.7,7.0,26.0,0.8
2017-12-14,30.0,139.8,103.7,243.6,14.3,6.1,26.0,0.8
2017-12-15,37.0,175.6,103.2,245.2,29.7,8.0,24.0,0.8
2017-12-16,37.0,81.2,62.9,137.4,15.8,6.3,25.0,0.7
2017-12-17,27.0,105.9,69.4,175.4,16.8,7.6,26.0,0.8
2017-12-18,35.0,210.8,120.8,331.6,33.7,8.8,25.0,0.7
2017-12-19,46.0,188.7,120.5,282.3,37.8,9.3,25.0,0.8
2017-12-20,51.0,93.1,75.4,155.7,37.6,11.0,23.0,1.1
2017-12-21,52.0,123.0,69.6,187.5,38.9,9.4,25.0,0.8
2017-12-22,42.0,232.9,101.8,334.7,30.3,11.7,25.0,0.7
2017-12-23,42.0,30.5,29.8,56.2,22.7,8.7,24.0,1.0
2017-12-24,41.0,23.4,33.9,55.1,18.8,7.7,24.0,1.1
2017-12-25,27.0,55.1,36.7,88.5,19.6,9.5,24.0,0.8
2017-12-26,22.0,176.6,112.9,239.9,17.0,7.8,24.0,0.7
2017-12-27,35.0,76.0,61.4,121.9,23.4,7.3,23.0,1.1
2017-12-28,35.0,113.2,73.4,186.7,23.9,7.1,22.0,1.0
2017-12-29,39.0,70.9,48.8,113.7,24.0,8.8,23.0,0.9
2017-12-30,39.0,168.9,86.4,255.3,22.1,8.2,25.0,0.6
2017-12-31,30.0,161.0,120.8,281.8,15.5,7.4,26.0,0.7
2018-01-01,26.0,86.5,65.2,151.7,16.8,8.6,24.0,0.7
2018-01-02,24.0,37.3,26.8,64.2,12.2,6.2,25.0,1.0
2018-01-03,20.0,53.4,73.0,126.4,14.3,6.3,24.0,1.1
2018-01-04,30.0,23.8,22.7,46.5,28.9,13.2,22.0,1.5
2018-01-05,47.0,0.0,0.0,0.0,44.0,17.7,22.0,1.8
2018-01-06,71.0,0.0,0.0,0.0,42.2,17.0,23.0,0.6
2018-01-07,70.0,0.0,0.0,0.0,42.4,15.8,25.0,0.7
2018-01-08,58.0,0.0,0.0,0.0,26.5,9.7,25.0,0.8
2018-01-09,48.0,0.0,0.0,0.0,21.7,9.1,27.0,0.7
2018-01-10,33.0,0.0,0.0,0.0,18.4,7.5,28.0,0.6
2018-01-11,35.0,0.0,0.0,0.0,27.5,10.4,28.0,0.6
2018-01-12,37.0,0.0,0.0,0.0,22.6,9.7,26.0,1.0
2018-01-13,36.0,0.0,0.0,0.0,19.5,9.0,25.0,1.0
2018-01-14,29.0,0.0,0.0,0.0,13.1,6.3,26.0,0.9
2018-01-15,28.0,81.5,36.9,118.3,19.6,6.6,25.0,1.0
2018-01-16,40.0,29.7,34.7,60.8,30.8,8.8,24.0,0.8
2018-01-17,51.0,32.7,37.4,70.1,29.6,10.9,24.0,1.3
2018-01-18,55.0,114.5,56.5,171.0,33.0,13.3,22.0,1.1
2018-01-19,48.0,94.9,50.0,140.2,32.7,12.4,25.0,0.9
2018-01-20,51.0,66.8,37.1,99.7,23.6,9.5,27.0,1.1
2018-01-21,40.0,34.9,26.4,57.4,22.1,9.5,26.0,1.2
2018-01-22,36.0,172.0,83.6,231.6,19.9,7.7,25.0,0.9
2018-01-23,24.0,98.3,74.5,172.8,14.7,5.9,26.0,0.8
2018-01-24,24.0,118.6,68.5,176.6,14.9,6.2,28.0,0.8
2018-01-25,26.0,168.6,79.2,212.7,15.4,8.2,28.0,0.7
2018-01-26,32.0,231.1,109.0,336.4,23.8,11.8,27.0,0.9
2018-01-27,35.0,83.8,81.2,165.0,20.0,11.9,27.0,0.7
2018-01-28,34.0,51.5,30.1,81.6,16.3,8.5,28.0,1.1
2018-01-29,30.0,30.4,22.3,50.3,27.3,9.2,28.0,1.0
2018-01-30,35.0,59.8,34.4,91.2,22.7,9.5,27.0,1.0
2018-01-31,43.0,43.3,38.3,81.7,29.2,10.5,26.0,1.2
2018-02-01,65.0,139.5,88.1,191.1,56.2,17.0,23.0,1.3
2018-02-02,63.0,273.3,92.1,345.1,30.5,11.3,25.0,0.9
2018-02-03,46.0,104.3,57.8,157.2,20.2,7.8,21.0,1.1
2018-02-04,26.0,36.2,30.0,59.4,18.2,7.2,22.0,0.9
2018-02-05,30.0,70.3,60.5,125.1,15.9,7.0,25.0,0.6
2018-02-06,26.0,78.8,43.5,122.3,19.5,7.7,25.0,0.7
2018-02-07,40.0,59.6,33.8,91.6,26.3,8.3,25.0,1.0
2018-02-08,40.0,22.5,27.7,50.2,15.2,5.8,22.0,1.0
2018-02-09,23.0,51.7,33.5,75.8,15.5,7.7,22.0,1.0
2018-02-10,26.0,33.4,17.2,45.7,22.6,10.6,23.0,0.5
