Date,BC(370),BC(880),NO,NO2,NOx,PM10,RH,Temp,WS
2017-08-21,7119.67,5907.5,,,,34.0,85.7,16.0,1.9
2017-08-22,7349.83,5746.5,,,,29.5,89.5,15.0,2.0
2017-08-23,7935.83,5904.0,,,,21.7,91.0,15.0,1.9
2017-08-24,7300.17,5979.33,,,,20.2,91.3,16.0,2.1
2017-08-25,4363.83,3422.0,,,,19.2,90.4,16.0,3.1
2017-08-26,758.83,476.5,,,,17.2,91.0,17.0,3.0
2017-08-27,7728.17,4201.17,,,,34.6,90.0,15.0,4.6
2017-08-28,4454.67,2641.33,,,,24.8,90.9,17.0,5.0
2017-08-29,4988.33,4455.33,,,,19.3,91.6,18.0,2.7
2017-08-30,4559.83,2428.17,,,,22.1,92.1,16.0,1.8
2017-08-31,4438.83,3614.67,,,,16.6,91.2,18.0,3.1
2017-09-01,1543.5,991.83,,,,19.6,90.8,16.0,1.6
2017-09-02,1003.17,535.0,,,,11.0,89.5,16.0,2.8
2017-09-03,3472.67,2305.33,,,,10.4,82.8,16.0,1.6
2017-09-04,5020.67,3642.5,,,,14.5,87.6,17.0,2.9
2017-09-05,1643.0,1132.67,,,,21.7,87.8,17.0,3.7
2017-09-06,433.17,313.5,,,,14.7,89.7,16.0,3.0
2017-09-07,1074.83,830.83,,,,30.7,83.3,16.0,6.6
2017-09-08,1871.33,1239.17,,,,25.2,82.0,16.0,4.9
2017-09-09,431.0,297.0,,,,21.8,89.3,13.0,7.5
2017-09-10,2399.0,1302.67,,,,25.4,82.6,13.0,6.4
2017-09-11,394.33,210.67,,,,23.3,86.1,12.0,5.0
2017-09-12,453.17,381.17,,,,22.6,82.8,14.0,4.4
2017-09-13,438.5,310.33,,,,22.5,84.3,16.0,4.7
2017-09-14,1684.33,1410.33,,,,33.0,85.3,19.0,5.2
2017-09-15,520.33,364.67,,,,20.8,88.8,21.0,3.3
2017-09-16,3483.67,1598.67,,,,25.7,85.4,16.0,5.9
2017-09-17,2068.17,784.17,,,,25.9,89.3,18.0,4.4
2017-09-18,2747.83,1610.0,,,,19.8,83.5,13.0,5.3
2017-09-19,3726.17,1765.0,,,,17.4,89.6,16.0,2.5
2017-09-20,5020.5,2428.33,,,,18.9,90.0,18.0,3.2
2017-09-21,2892.67,2367.67,,,,21.4,88.7,17.0,4.0
2017-09-22,4337.0,2553.5,,,,24.1,90.3,15.0,2.6
2017-09-23,1230.67,1180.0,,,,15.7,78.0,17.0,2.0
2017-09-24,1152.83,942.67,,,,,,,
2017-09-25,2662.5,2075.67,,,,32.1,78.4,18.0,5.2
2017-09-26,3057.33,2731.5,,,,28.9,89.7,19.0,6.0
2017-09-27,2513.83,2250.67,,,,29.0,90.3,18.0,1.6
2017-09-28,4453.0,3768.67,,,,20.4,85.8,18.0,3.7
