Date(NZST),Tmax(C),Tmin(C)
2019-01-10,25.6,18.5
2019-01-11,27.5,16.9
2019-01-12,27.6,18.5
2019-01-13,27.2,19.4
2019-01-14,26.1,18.2
2019-01-15,21.9,12.9
2019-01-16,21.1,14.8
2019-01-17,24.2,18.8
2019-01-18,24.6,17.8
2019-01-19,24.8,18.3
2019-01-20,26.4,20.3
2019-01-21,24.1,17.2
2019-01-22,24.6,18.1
2019-01-23,23.9,14.7
2019-01-24,25.3,20.3
2019-01-25,22.6,13.6
2019-01-26,24.7,14.8
2019-01-27,24.0,14.3
2019-01-28,24.6,19.6
2019-01-29,26.4,19.7
2019-01-30,29.8,20.6
2019-01-31,27.9,19.0
2019-02-01,26.4,16.0
2019-02-02,27.1,15.1
2019-02-03,26.5,18.6
2019-02-04,25.3,16.4
2019-02-05,26.9,14.2
2019-02-06,27.9,14.2
2019-02-07,28.0,18.6
2019-02-08,22.0,16.4
2019-02-09,24.6,16.0
2019-02-10,26.2,13.7
2019-02-11,27.7,14.3
2019-02-12,28.4,15.1
2019-02-13,27.6,15.1
2019-02-14,26.8,14.4
2019-02-15,28.4,15.1
2019-02-16,27.3,18.1
2019-02-17,24.4,13.9
2019-02-18,26.0,15.7
2019-02-19,24.5,13.5
2019-02-20,26.8,14.5
2019-02-21,26.2,20.4
2019-02-22,26.8,19.5
2019-02-23,23.3,19.6
2019-02-24,21.4,15.9
2019-02-25,23.3,13.2
2019-02-26,23.3,10.6
2019-02-27,24.6,9.9
2019-02-28,23.5,14.7
2019-03-01,22.3,16.1
2019-03-02,22.6,11.2
2019-03-03,24.6,9.7
2019-03-04,26.7,11.8
2019-03-05,24.9,15.9
2019-03-06,22.8,11.1
2019-03-07,26.4,12.5
2019-03-08,24.9,17.0
2019-03-09,23.0,11.8
2019-03-10,20.4,12.0
2019-03-11,24.3,11.9
2019-03-12,25.7,15.5
2019-03-13,24.8,14.6
2019-03-14,26.5,14.4
2019-03-15,27.1,15.0
2019-03-16,25.5,15.8
2019-03-17,26.8,16.5
2019-03-18,26.7,18.8
2019-03-19,25.4,18.5
2019-03-20,20.6,15.9
2019-03-21,23.7,13.0
2019-03-22,25.9,15.8
2019-03-23,25.9,14.0
2019-03-24,25.3,14.9
2019-03-25,24.5,15.5
2019-03-26,24.8,13.4
2019-03-27,25.2,14.3
2019-03-28,24.9,17.7
2019-03-29,22.8,17.3
2019-03-30,25.4,19.6
2019-03-31,24.8,18.6
2019-04-01,24.9,19.8
2019-04-02,22.7,16.6
2019-04-03,21.5,11.0
2019-04-04,18.6,13.0
2019-04-05,22.6,9.9
2019-04-06,21.9,13.8
2019-04-07,17.2,10.1
2019-04-08,18.8,7.4
2019-04-09,20.2,10.6
2019-04-10,22.1,8.0
2019-04-11,23.0,10.1
2019-04-12,21.3,13.0
2019-04-13,20.5,10.7
2019-04-14,18.0,5.4
2019-04-15,20.5,7.0
2019-04-16,21.1,6.2
2019-04-17,21.0,7.3
2019-04-18,21.1,8.4
2019-04-19,20.8,7.2
2019-04-20,21.6,6.7
2019-04-21,21.7,7.5
2019-04-22,21.5,14.3
2019-04-23,17.2,10.9
2019-04-24,19.3,9.0
2019-04-25,20.7,13.8
2019-04-26,21.3,14.4
2019-04-27,22.0,11.4
2019-04-28,22.2,14.0
2019-04-29,19.3,10.3
2019-04-30,19.3,12.2
2019-05-01,18.7,4.1
2019-05-02,17.5,4.4
2019-05-03,19.2,9.6
2019-05-04,20.5,7.9
2019-05-05,20.8,7.5
2019-05-06,21.3,9.7
2019-05-07,19.8,11.0
2019-05-08,20.5,12.2
2019-05-09,21.5,8.7
2019-05-10,21.4,14.2
2019-05-11,22.1,11.2
2019-05-12,20.3,12.2
2019-05-13,21.1,15.2
2019-05-14,19.2,9.3
2019-05-15,17.3,9.2
2019-05-16,20.1,13.9
2019-05-17,19.2,14.0
2019-05-18,17.4,7.9
2019-05-19,18.4,11.6
2019-05-20,19.0,10.9
2019-05-21,17.8,13.1
2019-05-22,17.4,12.4
2019-05-23,18.6,10.5
2019-05-24,18.0,7.0
2019-05-25,19.6,6.7
2019-05-26,19.4,7.1
2019-05-27,20.0,11.6
2019-05-28,20.8,11.2
2019-05-29,20.3,13.2
2019-05-30,20.1,6.4
2019-05-31,20.6,11.7
2019-06-01,14.4,9.4
2019-06-02,14.6,5.0
2019-06-03,13.6,1.7
2019-06-04,14.4,4.4
2019-06-05,15.3,9.8
2019-06-06,15.3,9.6
2019-06-07,14.2,9.6
2019-06-08,14.6,8.4
2019-06-09,15.9,6.6
2019-06-10,15.7,7.7
2019-06-11,15.4,6.4
2019-06-12,16.4,7.5
2019-06-13,14.5,5.8
2019-06-14,13.2,4.0
2019-06-15,16.9,7.1
2019-06-16,17.2,9.0
2019-06-17,16.1,5.3
2019-06-18,14.7,4.8
2019-06-19,14.5,0.2
2019-06-20,14.4,3.4
2019-06-21,15.2,12.0
2019-06-22,15.5,5.7
2019-06-23,12.3,7.4
